_time,user,src_ip,event_type,status
2026-09-04 08:15:12,alice,10.10.10.15,login,success
2026-09-04 08:22:41,bob,10.10.10.20,login,success
2026-09-04 08:35:09,admin,10.10.10.25,login,success
2026-09-04 09:10:15,alice,10.10.10.15,login,success
2026-09-04 09:45:21,admin,10.10.10.50,login,failure
2026-09-04 09:45:29,admin,10.10.10.50,login,failure
2026-09-04 09:45:37,admin,10.10.10.50,login,failure
2026-09-04 09:45:45,admin,10.10.10.50,login,failure
2026-09-04 09:45:53,admin,10.10.10.50,login,failure
2026-09-04 09:46:10,admin,10.10.10.50,login,success
2026-09-04 10:05:33,bob,10.10.10.20,login,success
2026-09-04 10:15:48,alice,10.10.10.15,login,failure
2026-09-04 10:16:02,alice,10.10.10.15,login,success
2026-09-04 11:20:11,charlie,10.10.10.30,login,success
2026-09-04 12:05:19,bob,10.10.10.20,login,failure
2026-09-04 12:05:31,bob,10.10.10.20,login,failure
2026-09-04 12:05:44,bob,10.10.10.20,login,success
2026-09-04 13:30:05,alice,10.10.10.15,login,success
2026-09-04 14:10:22,admin,10.10.10.50,login,failure
2026-09-04 14:10:31,admin,10.10.10.50,login,failure
